wetland,loc,plant_id,status,date,ht_cm,stem_ct,soil moist,water depth_cm,notes,date,status,ht_cm,stem_ct,soil moist,water depth_cm,notes,Third week (08/09/23),alive/wilt/dead,ht_cm,# of stems,soil moist,water depth_cm
burned,5,3-11-A,d,07/10/2023,,,,,,2023-07-18,d,,,,,,,,,,,
burned,5,3-5-A,a,07/10/2023,30,1,,0,,2023-07-18,a,32,2,,0,,,,,,,
burned,6,3-5-F,d,07/10/2023,,,,,,2023-07-18,d,,,,,,,,,,,
burned,6,1-5-A-1,w,07/10/2023,22,1,,1,,2023-07-18,a,25,2,,0,,,,,,,
burned,6,2-2-A,a,07/10/2023,21,1,,2,,2023-07-18,a,23,2,,0,,,,,,,
burned,7,1-5-D,w,07/10/2023,20,1,,0,,2023-07-18,a,22,2,,0,,,,,,,
burned,7,1-1-E,a,07/10/2023,8,1,,1,,2023-07-18,a,10,3,,0,,,,,,,
burned,7,1-8-C,a,07/10/2023,8,2,,1,,2023-07-18,a,11,3,,0,,,,,,,
burned,8,3-4-H,w,07/10/2023,23,1,,0,,2023-07-18,a,25,2,,0,,,,,,,
burned,8,2-5-B,a,07/10/2023,44,1,,0,,2023-07-18,a,47,2,,0,,,,,,,
burned,8,2-3-C,w,07/10/2023,15,1,,0,,2023-07-18,a,18,2,,0,,,,,,,
burned,9,1-1-B,a,07/10/2023,23,1,,0,,2023-07-18,a,25,2,,0,,,,,,,
burned,9,3-10-A-1,a,07/10/2023,13,1,,0,,2023-07-18,a,15,2,,0,,,,,,,
burned,9,3-1-F,a,07/10/2023,19,1,,0,,2023-07-18,a,23,2,,0,,,,,,,
burned,10,3-5-C,a,07/10/2023,12,1,,4,,2023-07-18,a,14,2,,0,,,,,,,
burned,10,2-1-E,a,07/10/2023,24,1,,1,,2023-07-18,a,27,2,,0,,,,,,,
burned,10,3-6-H,w,07/10/2023,15,1,,3,,2023-07-18,a,16,3,,0,,,,,,,
burned,11,3-11-E,a,07/10/2023,12,1,,1,,2023-07-18,a,15,2,,0,,,,,,,
burned,11,2-4-A,a,07/10/2023,34,1,,1,,2023-07-18,a,37,2,,0,,,,,,,
burned,11,3-2-G,a,07/10/2023,12,1,,2,,2023-07-18,a,14,2,,0,,,,,,,
burned,12,3-9-B,a,07/10/2023,14,1,,0,,2023-07-18,a,16,3,,0,,,,,,,
burned,12,3-6-D,a,07/10/2023,15,1,,0,,2023-07-18,a,17,3,,0,,,,,,,
burned,12,2-5-C,a,07/10/2023,30,1,,0,,2023-07-18,a,32,2,,0,,,,,,,
burned,13,2-7-C,w,07/10/2023,17,2,,1,,2023-07-18,a,19,3,,0,,,,,,,
burned,13,3-4-C,a,07/10/2023,12,2,,0,,2023-07-18,a,15,3,,0,,,,,,,
burned,13,3-6-E,a,07/10/2023,17,1,,1,,2023-07-18,a,20,2,,0,,,,,,,
burned,14,2-1-C,a,07/10/2023,26,2,,0,,2023-07-18,a,28,3,,0,,,,,,,
burned,14,3-5-B,a,07/10/2023,14,1,,0,,2023-07-18,a,16,3,,0,,,,,,,
burned,14,3-3-B,a,07/10/2023,16,2,,0,,2023-07-18,a,18,4,,0,,,,,,,
burned,15,3-4-A,a,07/10/2023,15,1,,5,,2023-07-18,a,18,5,,0,,,,,,,
burned,15,3-4-B,a,07/10/2023,19,1,,3,,2023-07-18,a,21,5,,0,,,,,,,
burned,15,3-4-E,a,07/10/2023,5,1,,4,,2023-07-18,a,8,2,,0,,,,,,,
burned,16,3-3-H,a,07/10/2023,11,1,,0,,2023-07-18,a,13,3,,0,,,,,,,
burned,16,2-5-E,a,07/10/2023,18,1,,0,,2023-07-18,a,20,2,,0,,,,,,,
burned,16,1-6-D,a,07/10/2023,15,1,,0,,2023-07-18,a,18,2,,0,,,,,,,
burned,17,1-8-B,a,07/10/2023,11,1,,0,,2023-07-18,a,14,3,,0,,,,,,,
burned,17,3-9-C,a,07/10/2023,14,1,,0,,2023-07-18,a,17,2,,0,,,,,,,
burned,17,2-6-E,a,07/10/2023,45,1,,0,,2023-07-18,a,52,3,,0,,,,,,,
burned,18,3-7-D,a,07/10/2023,10,1,,0,,2023-07-18,a,13,2,,0,,,,,,,
burned,18,3-8-B,w,07/10/2023,16,1,,0,,2023-07-18,a,19,2,,0,,,,,,,
burned,18,1-2-B,a,07/10/2023,18,1,,0,,2023-07-18,a,21,3,,0,,,,,,,
burned,19,3-2-F,a,07/10/2023,6,1,,0,,2023-07-18,a,8,3,,0,,,,,,,
burned,19,3-7-G,a,07/10/2023,13,1,,0,,2023-07-18,a,15,2,,0,,,,,,,
burned,19,1-3-E,a,07/10/2023,1,1,,1,,2023-07-18,a,2,2,,0,,,,,,,
burned,20,1-8-E,a,07/10/2023,16,1,,0,,2023-07-18,a,19,4,,0,,,,,,,
burned,20,3-9-D-1,a,07/10/2023,10,1,,0,,2023-07-18,a,12,3,,0,,,,,,,
burned,20,1-3-C,a,07/10/2023,8,1,,0,,2023-07-18,a,10,2,,0,,,,,,,
burned,21,3-1-H,a,07/10/2023,4,1,,0,,2023-07-18,a,6,4,,0,,,,,,,
burned,21,3-4-F,a,07/10/2023,9,1,,0,,2023-07-18,a,11,3,,0,,,,,,,
burned,21,2-7-D-2,a,07/10/2023,5,1,,0,,2023-07-18,a,8,3,,0,,,,,,,
burned,22,3-11-C,a,07/10/2023,7,1,,0,,2023-07-18,a,9,2,,0,,,,,,,
burned,22,1-1-D,a,07/10/2023,12,1,,0,,2023-07-18,a,14,2,,0,,,,,,,
burned,22,2-2-C,a,07/10/2023,22,1,,3,,2023-07-18,a,25,5,,0,,,,,,,
burned,23,3-8-H,a,07/10/2023,10,1,,0,,2023-07-18,a,13,3,,0,,,,,,,
burned,23,3-12-F,a,07/10/2023,10,1,,0,,2023-07-18,a,12,3,,0,,,,,,,
burned,23,1-9-E,a,07/10/2023,24,1,,0,damaged,2023-07-18,a,17,2,,0,damaged,,,,,,
burned,24,2-2-D,w,07/10/2023,20,1,,0,,2023-07-18,a,23,2,,0,,,,,,,
burned,24,3-9-D-2,a,07/10/2023,6,1,,0,,2023-07-18,a,9,2,,0,,,,,,,
burned,24,1-1-C,w,07/10/2023,6,1,,0,damaged,2023-07-18,a,8,3,,0,damaged,,,,,,
burned,up1_lft,3-10-A-2,a,07/10/2023,10,1,,2,,2023-07-18,a,13,2,,0,,,,,,,
burned,up1_lft,3-11-D,a,07/10/2023,8,1,,1,,2023-07-18,a,18,2,,0,,,,,,,
burned,up1_lft,1-3-D,a,07/10/2023,20,1,,0,,2023-07-18,a,23,2,,0,,,,,,,
burned,up2_rt,3-3-B-2,a,07/10/2023,7,1,,0,,2023-07-18,a,8,1,,0,,,,,,,
burned,up2_rt,1-2-D,a,07/10/2023,20,1,,0,,2023-07-18,a,26,3,,0,,,,,,,
burned,up2_rt,1-7-E,a,07/10/2023,19,1,,0,,2023-07-18,a,22,2,,0,,,,,,,
